event_id,name,url,image_url,date,time,status,segment,genre,subgenre,venue_name,venue_city,venue_address,venue_lat,venue_lon,price_min,price_max,currency,day_of_week,month_name,month_num,year,hour
Z698xZq2Z1kQ9_Za4,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/697640255?language=en-us,https://s1.ticketm.net/dam/e/f4d/f1fc39aa-a21e-4ae9-9e93-ebc51228ef4d_RETINA_PORTRAIT_3_2.jpg,2026-05-09,13:00:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,May,5,2026,13
Z698xZq2Z1k1pG7vt,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/296304069?language=en-us,https://s1.ticketm.net/dam/e/039/434ccb88-f19e-472b-b738-df62b617f039_TABLET_LANDSCAPE_16_9.jpg,2026-05-09,19:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,May,5,2026,19
Z698xZq2Z1ku0Qkef,THE COMMONERS,https://www.ticketmaster.se/event/the-commoners-tickets/364686094?language=en-us,https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_3_2.jpg,2026-05-10,00:00:00,onsale,Miscellaneous,Family,Other,Debaser Nova,Stockholm,Hornstulls strand,59.31366,18.03503,,,,Sunday,May,5,2026,0
LvZ18QQLytq1mEYZYZbca,Rhône in White 2026 – Vårens vitaste vinupplevelse!,https://www.universe.com/events/rhone-in-white-2026-varens-vitaste-vinupplevelse-tickets-Q4PSBC?ref=ticketmaster,"https://images.universe.com/0d54b243-ce35-43d8-b003-a9cb870a9df8/-/resize/1200x/-/crop/1079x1079/64,438/-/format/jpeg/-/scale_crop/305x203/center/-/progressive/yes/-/inline/yes/",2026-05-11,17:00:00,onsale,Miscellaneous,Food & Drink,Food & Drink,,Stockholm,Exercisplan 4,59.32592,18.08413,,,,Monday,May,5,2026,17
Z698xZq2Z1kaO8z8Y,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/260438430?language=en-us,https://s1.ticketm.net/dam/e/6d7/0fd6f6c6-d3b4-419b-bda9-5893a07896d7_TABLET_LANDSCAPE_16_9.jpg,2026-05-14,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Thursday,May,5,2026,18
Z698xZq2Z16vGFGxo9,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1308322457?language=en-us,https://s1.ticketm.net/dam/e/670/9a5167a0-92f9-4ccb-9a2a-c4c49e788670_TABLET_LANDSCAPE_LARGE_16_9.jpg,2026-05-15,18:30:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Friday,May,5,2026,18
Z698xZq2Z16evo4U_p,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/2051576656?language=en-us,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg,2026-05-16,13:00:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,May,5,2026,13
Z698xZq2Z16v37p__a,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1484599649?language=en-us,https://s1.ticketm.net/dam/e/259/479895bc-7cad-44ae-bdc0-6d9cf41f1259_EVENT_DETAIL_PAGE_16_9.jpg,2026-05-16,19:30:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,May,5,2026,19
Z698xZq2Z16vv9F8o6,Sofia Isella,https://www.ticketmaster.se/event/sofia-isella-tickets/1057210447?language=en-us,https://s1.ticketm.net/dam/a/18b/d3a67dde-2420-4616-a241-560d801cc18b_TABLET_LANDSCAPE_3_2.jpg,2026-05-16,19:30:00,onsale,Music,Rock,Pop,Fryshuset,Stockholm,Mårtendalsgatan 2-8,59.33233,18.06293,,,,Saturday,May,5,2026,19
Z698xZq2Z1koIjMFo,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/468737211?language=en-us,https://s1.ticketm.net/dam/e/343/360601fd-569e-4309-af27-1eede3109343_ARTIST_PAGE_3_2.jpg,2026-05-21,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Thursday,May,5,2026,18
