name,date,time,venue_name,genre,segment,url,image
MAMMA MIA! THE PARTY,2026-05-02,19:30:00,Tyrol,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1063299089,https://s1.ticketm.net/dam/e/bc9/ee69d70f-d432-4a34-b47b-991d8ef95bc9_SOURCE
MAFFIA COMEDY SUPERWEEKEND med Simon Gärdenfors m.fl,2026-05-02,20:00:00,Clarion Hotel Sign,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-simon-gardenfors-mfl-biljetter/1023455821,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
JUNG,2026-05-02,21:00:00,Berns,Other,Music,https://www.ticketmaster.se/event/jung-biljetter/1502544875,https://s1.ticketm.net/dam/c/4f2/0109888a-61b5-4525-8432-b026ef04f4f2_105631_RETINA_PORTRAIT_16_9.jpg
& Julia,2026-05-03,15:00:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/1247356784,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
FAMILY SHOW - MAMMA MIA! THE PARTY,2026-05-03,16:00:00,Tyrol,Family,Miscellaneous,https://www.ticketmaster.se/event/familjefest-mamma-mia-the-party-biljetter/111819912,https://s1.ticketm.net/dam/e/d72/772b8772-3bbe-439a-9e85-fb4d2f8d9d72_ARTIST_PAGE_3_2.jpg
Aries: GLASS JAW WORLD TOUR,2026-05-03,19:30:00,Debaser Strand,Other,Music,https://www.ticketmaster.se/event/aries-glass-jaw-world-tour-biljetter/1224912544,https://s1.ticketm.net/dam/e/9bc/e2742ad0-a745-4004-b598-83b3d59a79bc_TABLET_LANDSCAPE_16_9.jpg
Sleeping At Last,2026-05-03,19:30:00,Göta Lejon,Rock,Music,https://www.ticketmaster.se/event/sleeping-at-last-biljetter/105559280,https://s1.ticketm.net/dam/e/9b1/20e3eb8e-9daa-413a-8593-584ebadd19b1_RECOMENDATION_16_9.jpg
Ásgeir,2026-05-03,20:00:00,Slaktkyrkan,Rock,Music,https://www.ticketmaster.se/event/asgeir-biljetter/898939281,https://s1.ticketm.net/dam/a/106/1d6da2f1-e1b8-405f-9d5b-9735ab83f106_EVENT_DETAIL_PAGE_16_9.jpg
Svartklubben - Mat & Musik i Mörker,2026-05-05,18:00:00,Svartklubben,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1273747421,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Svartklubben - Mat & Musik i Mörker,2026-05-06,18:00:00,Svartklubben,Food & Drink,Miscellaneous,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/547134161,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Fotbollsmorgon Live – Avsnitt 1000,2026-05-06,19:30:00,Rival,Miscellaneous,Sports,https://www.ticketmaster.se/event/fotbollsmorgon-live--avsnitt-1000-biljetter/1795699945,https://s1.ticketm.net/dam/a/95a/db329281-06fa-470d-960f-59ada671795a_RETINA_PORTRAIT_3_2.jpg
ACCEPT - Half a century of metal 1976-2026,2026-05-06,19:30:00,Cirkus,Rock,Music,https://www.ticketmaster.se/event/accept-half-a-century-of-metal-1976-2026-biljetter/886152562,https://s1.ticketm.net/dam/a/783/4cfb9db7-9c03-4775-8265-464498447783_RECOMENDATION_16_9.jpg
