event_id,name,date,time,status,segment,genre,venue_name,venue_lat,venue_lon,price_min,price_max,price_is_estimated,day_of_week,month_name,year,url,image_url
Z698xZq2Z16v_Erdvx,Björn Säfsten - Haunted desires,2026-05-08,21:00:00,onsale,Arts & Theatre,Dance,Dansens Hus Studioscen,59.33623,18.05644,414,651,True,Friday,May,2026,https://www.ticketmaster.se/event/bjorn-safsten-hemsokt-atra-biljetter/1667783062,https://s1.ticketm.net/dam/a/917/22132fa2-32a8-48f0-9565-6801e75ab917_RETINA_PORTRAIT_3_2.jpg
Z698xZq2Z16evF4fPo,Stadsvandring med Christopher O'Regan - Grändernas hemligheter,2026-05-09,11:00:00,onsale,Miscellaneous,Family,Gamla stan,59.3266,18.0709,332,517,True,Saturday,May,2026,https://www.ticketmaster.se/event/stadsvandring-med-christopher-oregan-grandernas-hemligheter-biljetter/2048554951,https://s1.ticketm.net/dam/a/506/784570b2-0a86-4a75-8af4-bed7018b7506_CUSTOM.jpg
Z698xZq2Z16v4YaxoP,Kör för alla Vårkonsert,2026-05-09,13:00:00,onsale,Music,Classical,Filadelfia Convention Center,59.33948,18.03484,806,874,True,Saturday,May,2026,https://www.ticketmaster.se/event/kor-for-alla-varkonsert-biljetter/1570262465,https://s1.ticketm.net/dam/e/9a0/914ddd1c-aeb3-4c38-8bcb-9d12fadd29a0_TABLET_LANDSCAPE_LARGE_16_9.jpg
Z698xZq2Z1kQ9_Za4,MAMMA MIA! THE PARTY,2026-05-09,13:00:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,715,935,True,Saturday,May,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/697640255,https://s1.ticketm.net/dam/e/f4d/f1fc39aa-a21e-4ae9-9e93-ebc51228ef4d_RETINA_PORTRAIT_3_2.jpg
Z698xZq2Z1kGfq_At,& Julia,2026-05-09,15:00:00,onsale,Arts & Theatre,Theatre,Cirkus,59.32457,18.09969,315,605,True,Saturday,May,2026,https://www.ticketmaster.se/event/-julia-biljetter/314759169,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z16vF_bwCe,Bo Kaspers Orkester - Il magnifico,2026-05-09,16:00:00,onsale,Arts & Theatre,Spectacular,Göta Lejon,59.31378,18.07384,484,571,True,Saturday,May,2026,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/1219632382,https://s1.ticketm.net/dam/e/c20/72ea58c3-6fb2-4a60-a4b8-1def8d026c20_EVENT_DETAIL_PAGE_16_9.jpg
Z698xZq2Z1k_AotO3,Kör för alla Vårkonsert,2026-05-09,16:30:00,onsale,Music,Classical,Filadelfia Convention Center,59.33948,18.03484,877,942,True,Saturday,May,2026,https://www.ticketmaster.se/event/kor-for-alla-varkonsert-biljetter/645469812,https://s1.ticketm.net/dam/e/150/2252e38f-1629-43b2-a2af-9477c87bd150_RECOMENDATION_16_9.jpg
Z698xZq2Z16v8x89Gk,Svartklubben - Mat & Musik i Mörker,2026-05-09,18:00:00,onsale,Miscellaneous,Food & Drink,Svartklubben,59.31209,18.08133,270,482,True,Saturday,May,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1422417306,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16vAsAokv,ur Bachs solopartitor för klaver med Bengt Forsberg,2026-05-09,18:00:00,onsale,Arts & Theatre,Classical,Allhelgonakyrkan,59.30982,18.07379,294,362,True,Saturday,May,2026,https://www.ticketmaster.se/event/ur-bachs-solopartitor-for-klaver-med-bengt-forsberg-biljetter/1171151181,https://s1.ticketm.net/dam/a/c23/43c3d863-3ce7-4868-973f-009502841c23_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16ee8_p_g,Scenkursföreställning v.19 – Beyond the Screen,2026-05-09,19:00:00,onsale,Arts & Theatre,Dance,Scen Studio Fyra,59.34322,18.06386,419,706,True,Saturday,May,2026,https://www.ticketmaster.se/event/scenkursforestallning-v19--beyond-the-screen-biljetter/2090656675,https://s1.ticketm.net/dam/e/223/391ea978-6c16-4566-af69-08881fb5c223_RETINA_PORTRAIT_3_2.jpg
